"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Gemeente","Jongeren..15.tot.27.jaar...aantal.","Leeftijd","Marges","Regioaanduiding.Soort.regio..omschrijving.","Psychische.klachten....","Hoog.risico.op.angst.of.depressie...."
"51","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Brummen",2600,"18 jaar of ouder","Waarde","Gemeente  ",NA,6
"52","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Brunssum",3200,"18 jaar of ouder","Waarde","Gemeente  ",NA,9.9
"53","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bunnik",1800,"18 jaar of ouder","Waarde","Gemeente  ",NA,4
"54","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bunschoten",3400,"18 jaar of ouder","Waarde","Gemeente  ",NA,5
"55","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Buren",3600,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.5
"56","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Capelle aan den IJssel",9200,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.4
"57","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Castricum",4800,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.2
"58","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Coevorden",4600,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.9
"59","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Cranendonck",2800,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.6
"60","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Culemborg",4000,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.4
"61","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dalfsen",4100,"18 jaar of ouder","Waarde","Gemeente  ",NA,3.7
"62","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dantumadiel",2600,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.4
"63","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Delft",25600,"18 jaar of ouder","Waarde","Gemeente  ",NA,8.4
"64","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Deurne",4500,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.6
"65","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Deventer",15200,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.9
"66","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Diemen",6400,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.7
"67","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dijk en Waard",12200,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.8
"68","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dinkelland",4200,"18 jaar of ouder","Waarde","Gemeente  ",NA,3.8
"69","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Doesburg",1400,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.9
"70","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Doetinchem",8200,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.8
"71","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dongen",3500,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.9
"72","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dordrecht",16900,"18 jaar of ouder","Waarde","Gemeente  ",NA,7.8
"73","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Drechterland",2800,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.5
"74","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Drimmelen",3500,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.8
"75","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dronten",6400,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.5
"76","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Druten",2700,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.9
"77","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Duiven",3600,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.2
"78","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Echt-Susteren",3600,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.4
"79","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Edam-Volendam",5400,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.5
"80","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ede",18600,"18 jaar of ouder","Waarde","Gemeente  ",NA,6
"81","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eemnes",1300,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.6
"82","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eemsdelta",5700,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.8
"83","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eersel",2600,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.5
"84","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eijsden-Margraten",3100,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.4
"85","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Eindhoven",41400,"18 jaar of ouder","Waarde","Gemeente  ",NA,8.9
"86","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Elburg",3400,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.7
"87","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Emmen",14300,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.6
"88","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Enkhuizen",2400,"18 jaar of ouder","Waarde","Gemeente  ",NA,6.4
"89","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Enschede",30800,"18 jaar of ouder","Waarde","Gemeente  ",NA,8.5
"90","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Epe",4200,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.1
"91","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Ermelo",3800,"18 jaar of ouder","Waarde","Gemeente  ",NA,5.2
"92","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Etten-Leur",5600,"18 jaar of ouder","Waarde","Gemeente  ",NA,7
"93","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","De Fryske Marren",6800,"18 jaar of ouder","Waarde","Gemeente  ",NA,4.3
"94","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Geertruidenberg",2800,"18 jaar of ouder","Waarde","Gemeente  ",NA,6
