"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Regio.s","Jongeren..15.tot.27.jaar...aantal.","unemployment_pct_change"
"96","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Baarn",2800,0
"97","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Barendrecht",7100,NA
"98","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Barendrecht",7100,0
"99","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Barendrecht",7200,1.408
"100","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Barendrecht",7200,0
"101","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Barneveld",9600,NA
"102","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Barneveld",9600,0
"103","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Barneveld",9600,0
"104","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Barneveld",9700,1.042
"105","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beek (L.)",1900,NA
"106","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Beek (L.)",1900,0
"107","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Beek (L.)",1800,-5.263
"108","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Beek (L.)",1800,0
"109","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beekdaelen",4200,NA
"110","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Beekdaelen",4100,-2.381
"111","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Beekdaelen",4000,-2.439
"112","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Beekdaelen",3900,-2.5
"113","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beesel",1700,NA
"114","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Beesel",1700,0
"115","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Beesel",1700,0
"116","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Beesel",1700,0
"117","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Berg en Dal",4400,NA
"118","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Berg en Dal",4400,0
"119","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Berg en Dal",4400,0
"120","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Berg en Dal",4400,0
"121","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bergeijk",2600,NA
"122","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bergeijk",2500,-3.846
"123","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bergeijk",2600,4
"124","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bergeijk",2600,0
"125","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bergen (L.)",1700,NA
"126","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bergen (L.)",1700,0
"127","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bergen (L.)",1600,-5.882
"128","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bergen (L.)",1600,0
"129","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bergen (NH.)",3500,NA
"130","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bergen (NH.)",3500,0
"131","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bergen (NH.)",3600,2.857
"132","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bergen (NH.)",3500,-2.778
"133","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bergen op Zoom",8900,NA
"134","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bergen op Zoom",8900,0
"135","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bergen op Zoom",9000,1.124
"136","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bergen op Zoom",9000,0
"137","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Berkelland",5900,NA
"138","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Berkelland",5800,-1.695
"139","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Berkelland",5900,1.724
"140","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Berkelland",5800,-1.695
"141","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bernheze",4700,NA
"142","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bernheze",4600,-2.128
"143","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bernheze",4800,4.348
"144","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bernheze",4700,-2.083
"145","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Best",4400,NA
"146","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Best",4400,0
"147","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Best",4300,-2.273
"148","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Best",4200,-2.326
"149","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beuningen",3400,NA
"150","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Beuningen",3400,0
"151","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Beuningen",3300,-2.941
"152","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Beuningen",3300,0
"153","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beverwijk",5600,NA
"154","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Beverwijk",5700,1.786
"155","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Beverwijk",5800,1.754
"156","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Beverwijk",5800,0
"157","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bladel",2900,NA
"158","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bladel",2900,0
"159","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bladel",2900,0
"160","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bladel",2800,-3.448
"161","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Blaricum",1200,NA
"162","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Blaricum",1300,8.333
"163","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Blaricum",1300,0
"164","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Blaricum",1300,0
"165","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bloemendaal",2800,NA
"166","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bloemendaal",2700,-3.571
"167","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bloemendaal",2800,3.704
"168","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bloemendaal",2800,0
"169","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bodegraven-Reeuwijk",5000,NA
"170","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bodegraven-Reeuwijk",4900,-2
"171","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bodegraven-Reeuwijk",5000,2.041
"172","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bodegraven-Reeuwijk",4900,-2
"173","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Boekel",1700,NA
"174","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Boekel",1600,-5.882
"175","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Boekel",1700,6.25
"176","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Boekel",1700,0
"177","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Borger-Odoorn",3100,NA
"178","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Borger-Odoorn",3100,0
"179","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Borger-Odoorn",3100,0
"180","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Borger-Odoorn",3000,-3.226
"181","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Borne",3000,NA
"182","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Borne",3000,0
"183","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Borne",3100,3.333
"184","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Borne",3000,-3.226
"185","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Borsele",3100,NA
"186","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Borsele",3100,0
"187","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Borsele",3200,3.226
"188","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Borsele",3100,-3.125
"189","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Boxtel",4600,NA
"190","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Boxtel",4500,-2.174
"191","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Boxtel",4700,4.444
"192","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Boxtel",4700,0
"193","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Breda",30700,NA
"194","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Breda",30700,0
"195","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Breda",30900,0.651
"196","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Breda",31800,2.913
"197","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bronckhorst",4800,NA
"198","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bronckhorst",4800,0
"199","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bronckhorst",4800,0
"200","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bronckhorst",4700,-2.083
"201","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Brummen",2600,NA
"202","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Brummen",2600,0
"203","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Brummen",2500,-3.846
"204","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Brummen",2500,0
"205","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Brunssum",3200,NA
"206","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Brunssum",3200,0
"207","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Brunssum",3200,0
"208","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Brunssum",3200,0
"209","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bunnik",1800,NA
"210","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bunnik",1800,0
"211","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bunnik",1900,5.556
"212","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bunnik",1900,0
"213","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bunschoten",3400,NA
"214","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bunschoten",3400,0
"215","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bunschoten",3400,0
"216","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bunschoten",3400,0
"217","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Buren",3600,NA
"218","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Buren",3600,0
"219","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Buren",3700,2.778
"220","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Buren",3600,-2.703
"221","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Capelle aan den IJssel",9200,NA
"222","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Capelle aan den IJssel",9100,-1.087
"223","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Capelle aan den IJssel",9100,0
"224","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Capelle aan den IJssel",9200,1.099
"225","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Castricum",4800,NA
"226","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Castricum",4700,-2.083
"227","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Castricum",4700,0
"228","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Castricum",4600,-2.128
"229","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Coevorden",4600,NA
"230","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Coevorden",4600,0
"231","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Coevorden",4700,2.174
"232","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Coevorden",4600,-2.128
"233","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Cranendonck",2800,NA
"234","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Cranendonck",2700,-3.571
"235","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Cranendonck",2700,0
"236","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Cranendonck",2600,-3.704
"237","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Culemborg",4000,NA
"238","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Culemborg",3900,-2.5
"239","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Culemborg",3900,0
"240","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Culemborg",3800,-2.564
"241","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dalfsen",4100,NA
"242","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Dalfsen",4100,0
"243","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Dalfsen",4200,2.439
"244","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Dalfsen",4200,0
"245","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Dantumadiel",2600,NA
"246","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Dantumadiel",2600,0
"247","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Dantumadiel",2600,0
"248","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Dantumadiel",2600,0
"249","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","De Bilt",5300,NA
"250","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","De Bilt",5200,-1.887
"251","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","De Bilt",5300,1.923
