"","Onderwijsvolgend","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Gemeente","aantal_jongeren","nietwerkzame_jongeren"
"135","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hoeksche Waard",11500,3100
"136","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hof van Twente",4800,1000
"137","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Het Hogeland",6200,2100
"138","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hollands Kroon",7000,1600
"139","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hoogeveen",7700,2000
"140","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hoorn",10300,3000
"141","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Horst aan de Maas",6000,1100
"142","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Houten",7000,2300
"143","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Huizen",5200,1700
"144","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Hulst",3100,1000
"145","Totaal ","Totaal met of zonder uitkering","Totaal","2020","IJsselstein",5100,1500
"146","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Kaag en Braassem",3700,900
"147","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Kampen",8500,1800
"148","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Kapelle",1800,400
"149","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Katwijk",9700,2100
"150","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Kerkrade",4900,1700
"151","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Koggenland",3400,700
"152","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Krimpen aan den IJssel",4200,1100
"153","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Krimpenerwaard",8200,2100
"154","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Laarbeek",3100,800
"155","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Land van Cuijk",12700,3100
"156","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Landgraaf",4300,1400
"157","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Landsmeer",1400,500
"158","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Lansingerland",8300,2600
"159","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Laren (NH.)",1200,600
"160","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Leeuwarden",22200,8100
"161","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Leiden",27200,10500
"162","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Leiderdorp",3500,1200
"163","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Leidschendam-Voorburg",8900,3500
"164","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Lelystad",11300,3800
