"","Periode","Gemeente","Aantal_werklozen_15_27","Leeftijd","Regio_type","Psychische_klachten","Hoog_risico_angst_depressie"
"212","2020","Ommen",2500,"18 jaar of ouder","Gemeente  ",NA,4.1
"213","2020","Oost Gelre",4300,"18 jaar of ouder","Gemeente  ",NA,4.6
"214","2020","Oosterhout",7100,"18 jaar of ouder","Gemeente  ",NA,7
"215","2020","Ooststellingwerf",3100,"18 jaar of ouder","Gemeente  ",NA,4.6
"216","2020","Oostzaan",1300,"18 jaar of ouder","Gemeente  ",NA,4.8
"217","2020","Opmeer",1800,"18 jaar of ouder","Gemeente  ",NA,4.5
"218","2020","Opsterland",4100,"18 jaar of ouder","Gemeente  ",NA,4.2
"219","2020","Oss",13300,"18 jaar of ouder","Gemeente  ",NA,7.4
"220","2020","Oude IJsselstreek",5400,"18 jaar of ouder","Gemeente  ",NA,6
"221","2020","Ouder-Amstel",2000,"18 jaar of ouder","Gemeente  ",NA,5.4
"222","2020","Oudewater",1400,"18 jaar of ouder","Gemeente  ",NA,4.5
"223","2020","Overbetuwe",6500,"18 jaar of ouder","Gemeente  ",NA,5.3
"224","2020","Papendrecht",4400,"18 jaar of ouder","Gemeente  ",NA,6.1
"225","2020","Peel en Maas",5900,"18 jaar of ouder","Gemeente  ",NA,5
"226","2020","Pekela",1500,"18 jaar of ouder","Gemeente  ",NA,7.4
"227","2020","Pijnacker-Nootdorp",8200,"18 jaar of ouder","Gemeente  ",NA,5.2
"228","2020","Purmerend",12700,"18 jaar of ouder","Gemeente  ",NA,6.7
"229","2020","Putten",3500,"18 jaar of ouder","Gemeente  ",NA,4.9
"230","2020","Raalte",5200,"18 jaar of ouder","Gemeente  ",NA,4
"231","2020","Reimerswaal",3600,"18 jaar of ouder","Gemeente  ",NA,5.8
"232","2020","Renkum",3400,"18 jaar of ouder","Gemeente  ",NA,5.5
"233","2020","Renswoude",900,"18 jaar of ouder","Gemeente  ",NA,4.4
"234","2020","Reusel-De Mierden",1600,"18 jaar of ouder","Gemeente  ",NA,4.6
"235","2020","Rheden",5500,"18 jaar of ouder","Gemeente  ",NA,7.2
"236","2020","Rhenen",2800,"18 jaar of ouder","Gemeente  ",NA,5.3
"237","2020","Ridderkerk",5900,"18 jaar of ouder","Gemeente  ",NA,6.5
"238","2020","Rijssen-Holten",5900,"18 jaar of ouder","Gemeente  ",NA,4.7
"239","2020","Rijswijk (ZH.)",6200,NA,NA,NA,NA
"240","2020","Roerdalen",2200,"18 jaar of ouder","Gemeente  ",NA,5.4
"241","2020","Roermond",7600,"18 jaar of ouder","Gemeente  ",NA,8.7
"242","2020","De Ronde Venen",6000,"18 jaar of ouder","Gemeente  ",NA,4.8
"243","2020","Roosendaal",10800,"18 jaar of ouder","Gemeente  ",NA,8.1
"244","2020","Rotterdam",110000,"18 jaar of ouder","Gemeente  ",NA,10.1
"245","2020","Rozendaal",200,"18 jaar of ouder","Gemeente  ",NA,2.9
"246","2020","Rucphen",2800,"18 jaar of ouder","Gemeente  ",NA,6.3
"247","2020","Schagen",6400,"18 jaar of ouder","Gemeente  ",NA,4.6
"248","2020","Scherpenzeel",1500,"18 jaar of ouder","Gemeente  ",NA,5.1
"249","2020","Schiedam",11600,"18 jaar of ouder","Gemeente  ",NA,8.9
"250","2020","Schiermonnikoog",100,"18 jaar of ouder","Gemeente  ",NA,8.4
"251","2020","Schouwen-Duiveland",4100,"18 jaar of ouder","Gemeente  ",NA,5
"252","2020","Simpelveld",1200,"18 jaar of ouder","Gemeente  ",NA,7.3
"253","2020","Sint-Michielsgestel",3800,"18 jaar of ouder","Gemeente  ",NA,4.7
"254","2020","Sittard-Geleen",11700,"18 jaar of ouder","Gemeente  ",NA,8.9
"255","2020","Sliedrecht",3600,"18 jaar of ouder","Gemeente  ",NA,6.5
"256","2020","Sluis",2500,"18 jaar of ouder","Gemeente  ",NA,5.3
"257","2020","Smallingerland",7900,"18 jaar of ouder","Gemeente  ",NA,5.7
"258","2020","Soest",6300,"18 jaar of ouder","Gemeente  ",NA,5.7
"259","2020","Someren",2700,"18 jaar of ouder","Gemeente  ",NA,5.4
"260","2020","Son en Breugel",2200,"18 jaar of ouder","Gemeente  ",NA,5
"261","2020","Stadskanaal",4000,"18 jaar of ouder","Gemeente  ",NA,5.8
"262","2020","Staphorst",2900,"18 jaar of ouder","Gemeente  ",NA,3.7
"263","2020","Stede Broec",3100,"18 jaar of ouder","Gemeente  ",NA,5.5
"264","2020","Steenbergen",3200,"18 jaar of ouder","Gemeente  ",NA,5.7
"265","2020","Steenwijkerland",6000,"18 jaar of ouder","Gemeente  ",NA,4.8
"266","2020","Stein (L.)",2800,NA,NA,NA,NA
"267","2020","Stichtse Vecht",8200,"18 jaar of ouder","Gemeente  ",NA,5.1
"268","2020","Súdwest-Fryslân",12100,"18 jaar of ouder","Gemeente  ",NA,4.8
"269","2020","Terneuzen",6700,"18 jaar of ouder","Gemeente  ",NA,7.3
"270","2020","Terschelling",900,"18 jaar of ouder","Gemeente  ",NA,4.5
"271","2020","Texel",1700,"18 jaar of ouder","Gemeente  ",NA,4.4
"272","2020","Teylingen",5300,"18 jaar of ouder","Gemeente  ",NA,5.1
"273","2020","Tholen",3900,"18 jaar of ouder","Gemeente  ",NA,5.9
"274","2020","Tiel",6300,"18 jaar of ouder","Gemeente  ",NA,8.2
"275","2020","Tilburg",41700,"18 jaar of ouder","Gemeente  ",NA,8.8
"276","2020","Tubbergen",3600,"18 jaar of ouder","Gemeente  ",NA,3.5
"277","2020","Twenterand",5000,"18 jaar of ouder","Gemeente  ",NA,4.9
"278","2020","Tynaarlo",3500,"18 jaar of ouder","Gemeente  ",NA,3.4
"279","2020","Tytsjerksteradiel",4300,"18 jaar of ouder","Gemeente  ",NA,4.1
"280","2020","Uitgeest",2000,"18 jaar of ouder","Gemeente  ",NA,4.6
"281","2020","Uithoorn",4100,"18 jaar of ouder","Gemeente  ",NA,5.9
"282","2020","Urk",4100,"18 jaar of ouder","Gemeente  ",NA,4.7
"283","2020","Utrecht (gemeente)",69900,NA,NA,NA,NA
"284","2020","Utrechtse Heuvelrug",6200,"18 jaar of ouder","Gemeente  ",NA,4.9
"285","2020","Vaals",1400,"18 jaar of ouder","Gemeente  ",NA,10.3
"286","2020","Valkenburg aan de Geul",1900,"18 jaar of ouder","Gemeente  ",NA,6.8
"287","2020","Valkenswaard",3900,"18 jaar of ouder","Gemeente  ",NA,6.4
"288","2020","Veendam",3600,"18 jaar of ouder","Gemeente  ",NA,6.7
"289","2020","Veenendaal",10100,"18 jaar of ouder","Gemeente  ",NA,6.8
"290","2020","Veere",2700,"18 jaar of ouder","Gemeente  ",NA,2.9
"291","2020","Veldhoven",5800,"18 jaar of ouder","Gemeente  ",NA,6
"292","2020","Velsen",9600,"18 jaar of ouder","Gemeente  ",NA,6.3
"293","2020","Venlo",13800,"18 jaar of ouder","Gemeente  ",NA,8.1
"294","2020","Venray",6100,"18 jaar of ouder","Gemeente  ",NA,6.8
"295","2020","Vijfheerenlanden",8100,"18 jaar of ouder","Gemeente  ",NA,6
"296","2020","Vlaardingen",9900,"18 jaar of ouder","Gemeente  ",NA,8.5
"297","2020","Vlieland",200,"18 jaar of ouder","Gemeente  ",NA,6.3
"298","2020","Vlissingen",5900,"18 jaar of ouder","Gemeente  ",NA,6.5
"299","2020","Voerendaal",1400,"18 jaar of ouder","Gemeente  ",NA,6.4
"300","2020","Voorne aan Zee",9100,NA,NA,NA,NA
"301","2020","Voorschoten",3200,"18 jaar of ouder","Gemeente  ",NA,5.1
"302","2020","Voorst",3100,"18 jaar of ouder","Gemeente  ",NA,4.6
"303","2020","Vught",3700,"18 jaar of ouder","Gemeente  ",NA,5.3
"304","2020","Waadhoeke",6200,"18 jaar of ouder","Gemeente  ",NA,4.5
"305","2020","Waalre",2000,"18 jaar of ouder","Gemeente  ",NA,4.8
"306","2020","Waalwijk",6500,"18 jaar of ouder","Gemeente  ",NA,7
"307","2020","Waddinxveen",4000,"18 jaar of ouder","Gemeente  ",NA,5.8
"308","2020","Wageningen",10800,"18 jaar of ouder","Gemeente  ",NA,7.9
"309","2020","Wassenaar",3500,"18 jaar of ouder","Gemeente  ",NA,5.2
"310","2020","Waterland",2100,"18 jaar of ouder","Gemeente  ",NA,4.2
"311","2020","Weert",6700,"18 jaar of ouder","Gemeente  ",NA,6.9
"312","2020","West Betuwe",7400,"18 jaar of ouder","Gemeente  ",NA,4.9
"313","2020","West Maas en Waal",2500,"18 jaar of ouder","Gemeente  ",NA,5
"314","2020","Westerkwartier",8500,"18 jaar of ouder","Gemeente  ",NA,4.3
"315","2020","Westerveld",2200,"18 jaar of ouder","Gemeente  ",NA,3.7
"316","2020","Westervoort",1900,"18 jaar of ouder","Gemeente  ",NA,7
"317","2020","Westerwolde",3000,"18 jaar of ouder","Gemeente  ",NA,5.1
"318","2020","Westland",15600,"18 jaar of ouder","Gemeente  ",NA,5.4
