"","X","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"75",75,"18 jaar of ouder","Waarde",2020,"Drimmelen","Drimmelen                               ","Gemeente  ","GM1719              ",79.8,"    45.8",16.3,14.8,38.6,30.9,"       .","       .",4.8,9
"76",76,"18 jaar of ouder","Waarde",2020,"Dronten","Dronten                                 ","Gemeente  ","GM0303              ",80.8,"    49.6",15.8,17.3,46.3,32.2,"       .","       .",5.5,9.3
"77",77,"18 jaar of ouder","Waarde",2020,"Druten","Druten                                  ","Gemeente  ","GM0225              ",77.3,"    45.7",16.9,17,42.5,33.3,"       .","       .",5.9,9.7
"78",78,"18 jaar of ouder","Waarde",2020,"Duiven","Duiven                                  ","Gemeente  ","GM0226              ",79.2,"    52.6",17.1,16.3,39.9,34.5,"       .","       .",6.2,10
"79",79,"18 jaar of ouder","Waarde",2020,"Echt-Susteren","Echt-Susteren                           ","Gemeente  ","GM1711              ",74,"    46.9",17.7,16.9,46.1,37.8,"       .","       .",6.4,11.9
"80",80,"18 jaar of ouder","Waarde",2020,"Edam-Volendam","Edam-Volendam                           ","Gemeente  ","GM0385              ",82.2,"    49.1",13.3,14.3,36,30.7,"       .","       .",4.5,7.9
"81",81,"18 jaar of ouder","Waarde",2020,"Ede","Ede                                     ","Gemeente  ","GM0228              ",80.6,"    53.7",15.3,16.8,49.8,32.1,"       .","       .",6,9.8
"82",82,"18 jaar of ouder","Waarde",2020,"Eemnes","Eemnes                                  ","Gemeente  ","GM0317              ",82.4,"       .",12.6,14.8,35.1,31.3,"       .","       .",4.6,8.3
"83",83,"18 jaar of ouder","Waarde",2020,"Eemsdelta","Eemsdelta                               ","Gemeente  ","GM1979              ",74.2,"    42.1",22.3,20.3,50.6,35.6,"       .","       .",6.8,10.9
"84",84,"18 jaar of ouder","Waarde",2020,"Eersel","Eersel                                  ","Gemeente  ","GM0770              ",80.3,"    50.9",13.4,12.6,37.7,29.8,"       .","       .",4.5,8.5
"85",85,"18 jaar of ouder","Waarde",2020,"Eijsden-Margraten","Eijsden-Margraten                       ","Gemeente  ","GM1903              ",78,"    47.5",15.2,14.7,38,33.7,"       .","       .",5.4,9.6
"86",86,"18 jaar of ouder","Waarde",2020,"Eindhoven","Eindhoven                               ","Gemeente  ","GM0772              ",77.3,"    51.0",14.6,19.7,42.4,31.2,"       .","       .",8.9,14.1
"87",87,"18 jaar of ouder","Waarde",2020,"Elburg","Elburg                                  ","Gemeente  ","GM0230              ",81.4,"    49.6",15.9,16.6,47.1,31.7,"       .","       .",4.7,8.7
"88",88,"18 jaar of ouder","Waarde",2020,"Emmen","Emmen                                   ","Gemeente  ","GM0114              ",76.4,"    45.1",19.8,20.1,43.7,36,"       .","       .",6.6,11.7
"89",89,"18 jaar of ouder","Waarde",2020,"Enkhuizen","Enkhuizen                               ","Gemeente  ","GM0388              ",78.1,"    51.3",16,18.3,41.4,34.3,"       .","       .",6.4,10.6
"90",90,"18 jaar of ouder","Waarde",2020,"Enschede","Enschede                                ","Gemeente  ","GM0153              ",77.1,"    53.7",17.4,21.9,42.6,33.1,"       .","       .",8.5,13.2
"91",91,"18 jaar of ouder","Waarde",2020,"Epe","Epe                                     ","Gemeente  ","GM0232              ",80.5,"    49.7",15.8,15.8,45.8,33.4,"       .","       .",5.1,9.2
"92",92,"18 jaar of ouder","Waarde",2020,"Ermelo","Ermelo                                  ","Gemeente  ","GM0233              ",80.3,"    50.1",14.6,15.9,47.4,33.3,"       .","       .",5.2,9.5
"93",93,"18 jaar of ouder","Waarde",2020,"Etten-Leur","Etten-Leur                              ","Gemeente  ","GM0777              ",77.9,"    48.8",17.5,15.5,44.2,32.7,"       .","       .",7,11.2
"94",94,"18 jaar of ouder","Waarde",2020,"De Fryske Marren","De Fryske Marren                        ","Gemeente  ","GM1940              ",81.4,"    52.4",14.7,16.5,40.6,31.8,"       .","       .",4.3,7.4
"95",95,"18 jaar of ouder","Waarde",2020,"Geertruidenberg","Geertruidenberg                         ","Gemeente  ","GM0779              ",78.1,"    45.7",17.8,16.4,41.6,32.3,"       .","       .",6,10.1
"96",96,"18 jaar of ouder","Waarde",2020,"Geldrop-Mierlo","Geldrop-Mierlo                          ","Gemeente  ","GM1771              ",77.8,"    50.2",15.6,15.9,40.4,32.9,"       .","       .",6.8,11.1
"97",97,"18 jaar of ouder","Waarde",2020,"Gemert-Bakel","Gemert-Bakel                            ","Gemeente  ","GM1652              ",78.9,"    51.5",15.1,15.3,36.7,31.4,"       .","       .",5.7,9.6
"98",98,"18 jaar of ouder","Waarde",2020,"Gennep","Gennep                                  ","Gemeente  ","GM0907              ",77.5,"    52.6",16,15.5,41.2,34.3,"       .","       .",5.9,10
"99",99,"18 jaar of ouder","Waarde",2020,"Gilze en Rijen","Gilze en Rijen                          ","Gemeente  ","GM0784              ",77.9,"    48.0",17,15.2,42.2,32.4,"       .","       .",6.2,10.7
"100",100,"18 jaar of ouder","Waarde",2020,"Goeree-Overflakkee","Goeree-Overflakkee                      ","Gemeente  ","GM1924              ",79.1,"    44.0",17.1,15.6,48.9,31.9,"       .","       .",5.1,9.6
"101",1,"18 jaar of ouder","Waarde",2020,"Goes","Goes                                    ","Gemeente  ","GM0664              ",76.5,"    50.6",14.4,16.7,51.5,34.1,"       .","       .",6.3,12.3
"102",2,"18 jaar of ouder","Waarde",2020,"Goirle","Goirle                                  ","Gemeente  ","GM0785              ",78.9,"    48.9",17.1,14.1,38.4,32.6,"       .","       .",5.6,9.9
"103",3,"18 jaar of ouder","Waarde",2020,"Gooise Meren","Gooise Meren                            ","Gemeente  ","GM1942              ",81.7,"    50.5",11.6,14.9,38.8,31.6,"       .","       .",5.2,9.4
"104",4,"18 jaar of ouder","Waarde",2020,"Gorinchem","Gorinchem                               ","Gemeente  ","GM0512              ",77,"    44.8",18.2,18.4,52.7,33.7,"       .","       .",7.6,11.9
"105",5,"18 jaar of ouder","Waarde",2020,"Gouda","Gouda                                   ","Gemeente  ","GM0513              ",78.3,"    48.7",16,16.9,50.6,33.9,"       .","       .",7.4,11.2
"106",6,"18 jaar of ouder","Waarde",2020,"'s-Gravenhage","'s-Gravenhage                           ","Gemeente  ","GM0518              ",75.3,"    48.8",15.9,20.8,51.9,32.7,"       .","       .",10,16
"107",7,"18 jaar of ouder","Waarde",2020,"Groningen","Groningen                               ","Gemeente  ","GM0014              ",79.7,"    56.0",12.3,23.9,37.1,29,"       .","       .",7.1,12.3
"108",8,"18 jaar of ouder","Waarde",2020,"Gulpen-Wittem","Gulpen-Wittem                           ","Gemeente  ","GM1729              ",75.2,"    41.9",16,15.7,42.4,36.2,"       .","       .",6.5,11.1
"109",9,"18 jaar of ouder","Waarde",2020,"Haaksbergen","Haaksbergen                             ","Gemeente  ","GM0158              ",81.2,"    54.5",16.2,15.4,36.1,30.3,"       .","       .",4.6,9.3
"110",10,"18 jaar of ouder","Waarde",2020,"Haarlem","Haarlem                                 ","Gemeente  ","GM0392              ",79.6,"    58.6",13.1,17.9,39.9,31,"       .","       .",7.1,11.8
"111",11,"18 jaar of ouder","Waarde",2020,"Haarlemmermeer","Haarlemmermeer                          ","Gemeente  ","GM0394              ",81.3,"    51.0",14.3,15.1,43.4,30.2,"       .","       .",5.9,10.4
"112",12,"18 jaar of ouder","Waarde",2020,"Halderberge","Halderberge                             ","Gemeente  ","GM1655              ",77.2,"    46.3",17.8,15.4,45.5,32.3,"       .","       .",6,10.5
"113",13,"18 jaar of ouder","Waarde",2020,"Hardenberg","Hardenberg                              ","Gemeente  ","GM0160              ",81.5,"    48.6",17.6,17.8,39.2,31.3,"       .","       .",4.7,8.8
"114",14,"18 jaar of ouder","Waarde",2020,"Harderwijk","Harderwijk                              ","Gemeente  ","GM0243              ",78.9,"    50.3",15.9,17.8,49.4,33.3,"       .","       .",6.5,10.8
"115",15,"18 jaar of ouder","Waarde",2020,"Hardinxveld-Giessendam","Hardinxveld-Giessendam                  ","Gemeente  ","GM0523              ",80.7,"    44.5",16.2,14.7,51.1,30.4,"       .","       .",5.2,8.7
"116",16,"18 jaar of ouder","Waarde",2020,"Harlingen","Harlingen                               ","Gemeente  ","GM0072              ",78.1,"    55.3",17.2,20.6,42.9,35.3,"       .","       .",5.1,8.7
"117",17,"18 jaar of ouder","Waarde",2020,"Hattem","Hattem                                  ","Gemeente  ","GM0244              ",81.5,"    52.1",15.2,15,43,32.4,"       .","       .",4.3,8.4
