"","X","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"134",34,"18 jaar of ouder","Waarde",2020,"Hillegom","Hillegom                                ","Gemeente  ","GM0534              ",81,"    51.3",14.2,15.8,39.8,31.7,"       .","       .",5.7,9.9
"135",35,"18 jaar of ouder","Waarde",2020,"Hilvarenbeek","Hilvarenbeek                            ","Gemeente  ","GM0798              ",80.9,"    51.0",13.9,11.9,35.1,29.5,"       .","       .",4.5,8.6
"136",36,"18 jaar of ouder","Waarde",2020,"Hilversum","Hilversum                               ","Gemeente  ","GM0402              ",79.5,"    50.7",13.2,18.6,42.4,31.9,"       .","       .",6.7,11.3
"137",37,"18 jaar of ouder","Waarde",2020,"Hoeksche Waard","Hoeksche Waard                          ","Gemeente  ","GM1963              ",79.9,"    43.2",16.7,14.5,46.6,31.4,"       .","       .",4.9,9.2
"138",38,"18 jaar of ouder","Waarde",2020,"Hof van Twente","Hof van Twente                          ","Gemeente  ","GM1735              ",81.9,"    52.2",15.8,15.7,36.1,29.9,"       .","       .",4.1,8.4
"139",39,"18 jaar of ouder","Waarde",2020,"Het Hogeland","Het Hogeland                            ","Gemeente  ","GM1966              ",78,"    48.0",15.6,18.3,44.8,33.3,"       .","       .",4.6,9.2
"140",40,"18 jaar of ouder","Waarde",2020,"Hollands Kroon","Hollands Kroon                          ","Gemeente  ","GM1911              ",80.7,"    50.8",15.5,17.6,38.2,31.1,"       .","       .",4.9,8.2
"141",41,"18 jaar of ouder","Waarde",2020,"Hoogeveen","Hoogeveen                               ","Gemeente  ","GM0118              ",78.4,"    46.9",17,19.4,44.1,34.9,"       .","       .",5.4,10.6
"142",42,"18 jaar of ouder","Waarde",2020,"Hoorn","Hoorn                                   ","Gemeente  ","GM0405              ",78.4,"    50.4",15.6,18.4,44.1,33.8,"       .","       .",6.9,11.1
"143",43,"18 jaar of ouder","Waarde",2020,"Horst aan de Maas","Horst aan de Maas                       ","Gemeente  ","GM1507              ",79.2,"    54.3",15.1,14.8,37.2,32.1,"       .","       .",5.1,9.2
"144",44,"18 jaar of ouder","Waarde",2020,"Houten","Houten                                  ","Gemeente  ","GM0321              ",81.3,"       .",12.6,13.9,45.4,31,"       .","       .",5.1,8.6
"145",45,"18 jaar of ouder","Waarde",2020,"Huizen","Huizen                                  ","Gemeente  ","GM0406              ",79,"    47.2",14.5,16.7,43.4,34.4,"       .","       .",6.1,9.9
"146",46,"18 jaar of ouder","Waarde",2020,"Hulst","Hulst                                   ","Gemeente  ","GM0677              ",76,"    47.1",17.1,16.3,44.2,33,"       .","       .",6.4,12
"147",47,"18 jaar of ouder","Waarde",2020,"IJsselstein","IJsselstein                             ","Gemeente  ","GM0353              ",78.2,"       .",15.3,16.3,45.3,32.6,"       .","       .",5.8,9.7
"148",48,"18 jaar of ouder","Waarde",2020,"Kaag en Braassem","Kaag en Braassem                        ","Gemeente  ","GM1884              ",82.6,"    48.9",14,14.2,37.8,30.6,"       .","       .",4.6,8.5
"149",49,"18 jaar of ouder","Waarde",2020,"Kampen","Kampen                                  ","Gemeente  ","GM0166              ",80.7,"    49.5",16.2,18.8,47.4,31.1,"       .","       .",5.8,9.6
"150",50,"18 jaar of ouder","Waarde",2020,"Kapelle","Kapelle                                 ","Gemeente  ","GM0678              ",79.3,"    51.8",15.2,13.5,51.2,31.9,"       .","       .",5.1,10
"151",51,"18 jaar of ouder","Waarde",2020,"Katwijk","Katwijk                                 ","Gemeente  ","GM0537              ",81.3,"    53.3",17.5,16.9,40.3,31.1,"       .","       .",5.7,9.2
"152",52,"18 jaar of ouder","Waarde",2020,"Kerkrade","Kerkrade                                ","Gemeente  ","GM0928              ",68.1,"    36.5",22.8,24.3,49.7,41.8,"       .","       .",10.4,15.5
"153",53,"18 jaar of ouder","Waarde",2020,"Koggenland","Koggenland                              ","Gemeente  ","GM1598              ",82.8,"    53.5",13.1,14.8,33.1,29,"       .","       .",4.1,7.2
"154",54,"18 jaar of ouder","Waarde",2020,"Krimpen aan den IJssel","Krimpen aan den IJssel                  ","Gemeente  ","GM0542              ",77.7,"    41.9",17,14.8,51.7,33.4,"       .","       .",6,10.4
"155",55,"18 jaar of ouder","Waarde",2020,"Krimpenerwaard","Krimpenerwaard                          ","Gemeente  ","GM1931              ",80.9,"    46.0",15.4,14.5,47.8,31.3,"       .","       .",5.1,8.9
"156",56,"18 jaar of ouder","Waarde",2020,"Laarbeek","Laarbeek                                ","Gemeente  ","GM1659              ",79,"    50.2",14.9,14.3,36.8,31.2,"       .","       .",5.3,9.3
"157",57,"18 jaar of ouder","Waarde",2020,"Land van Cuijk","Land van Cuijk                          ","Gemeente  ","GM1982              ",78.5,"    51.6",15.4,14.7,39.9,32.5,"       .","       .",5.6,9.5
"158",58,"18 jaar of ouder","Waarde",2020,"Landgraaf","Landgraaf                               ","Gemeente  ","GM0882              ",68.8,"    39.1",21.1,21,49,42.1,"       .","       .",9.1,13.5
"159",59,"18 jaar of ouder","Waarde",2020,"Landsmeer","Landsmeer                               ","Gemeente  ","GM0415              ",80.4,"    49.1",13.6,15,40.4,32.4,"       .","       .",5.1,8.9
"160",60,"18 jaar of ouder","Waarde",2020,"Lansingerland","Lansingerland                           ","Gemeente  ","GM1621              ",83.2,"    48.9",13.5,13.1,44.5,29.2,"       .","       .",5,8.8
"161",61,"18 jaar of ouder","Waarde",2020,"Laren","Laren                                   ","Gemeente  ","GM0417              ",82.5,"    48.5",10.3,12.6,34.6,32.3,"       .","       .",3.9,8.4
"162",62,"18 jaar of ouder","Waarde",2020,"Leeuwarden","Leeuwarden                              ","Gemeente  ","GM0080              ",79.6,"    56.1",14.9,21.7,41.3,33.8,"       .","       .",6.7,10.3
"163",63,"18 jaar of ouder","Waarde",2020,"Leiden","Leiden                                  ","Gemeente  ","GM0546              ",80.6,"    54.3",12.3,18.1,40.1,30.5,"       .","       .",7.8,11.9
"164",64,"18 jaar of ouder","Waarde",2020,"Leiderdorp","Leiderdorp                              ","Gemeente  ","GM0547              ",80.4,"    50.0",14.5,14.3,43.2,33.2,"       .","       .",5.6,9.9
"165",65,"18 jaar of ouder","Waarde",2020,"Leidschendam-Voorburg","Leidschendam-Voorburg                   ","Gemeente  ","GM1916              ",78,"    47.8",14.4,15.3,46.9,34.1,"       .","       .",6.5,11.7
"166",66,"18 jaar of ouder","Waarde",2020,"Lelystad","Lelystad                                ","Gemeente  ","GM0995              ",77,"    48.3",17.6,20.1,51.5,34.1,"       .","       .",7.7,12.4
"167",67,"18 jaar of ouder","Waarde",2020,"Leudal","Leudal                                  ","Gemeente  ","GM1640              ",78,"    51.4",14.9,15.7,40.4,33.3,"       .","       .",4.8,9.9
"168",68,"18 jaar of ouder","Waarde",2020,"Leusden","Leusden                                 ","Gemeente  ","GM0327              ",81.7,"       .",13.1,14.2,43.5,32.2,"       .","       .",4.7,8.4
"169",69,"18 jaar of ouder","Waarde",2020,"Lingewaard","Lingewaard                              ","Gemeente  ","GM1705              ",79.7,"    53.2",15.8,15.3,38.6,33.4,"       .","       .",5.3,9
"170",70,"18 jaar of ouder","Waarde",2020,"Lisse","Lisse                                   ","Gemeente  ","GM0553              ",80.8,"    50.3",14.1,14.5,39.9,32.4,"       .","       .",5.4,9.5
"171",71,"18 jaar of ouder","Waarde",2020,"Lochem","Lochem                                  ","Gemeente  ","GM0262              ",81.1,"    51.9",14.8,13.8,41.1,33.6,"       .","       .",4.7,8.6
"172",72,"18 jaar of ouder","Waarde",2020,"Loon op Zand","Loon op Zand                            ","Gemeente  ","GM0809              ",78,"    46.3",18.1,16,41.1,32.6,"       .","       .",6,10
"173",73,"18 jaar of ouder","Waarde",2020,"Lopik","Lopik                                   ","Gemeente  ","GM0331              ",81.4,"       .",13.9,15,44.1,29.6,"       .","       .",4.6,7.5
"174",74,"18 jaar of ouder","Waarde",2020,"Losser","Losser                                  ","Gemeente  ","GM0168              ",78.5,"    51.5",18,16.1,34.4,31.4,"       .","       .",4.9,8.5
"175",75,"18 jaar of ouder","Waarde",2020,"Maasdriel","Maasdriel                               ","Gemeente  ","GM0263              ",78.8,"    45.4",16.2,17.7,39.3,31,"       .","       .",5.2,9.2
"176",76,"18 jaar of ouder","Waarde",2020,"Maasgouw","Maasgouw                                ","Gemeente  ","GM1641              ",76.5,"    49.8",15.9,16.3,43.5,35.3,"       .","       .",5.1,10.7
"177",77,"18 jaar of ouder","Waarde",2020,"Maashorst","Maashorst                               ","Gemeente  ","GM1991              ",78.5,"    50.1",15.2,15.6,38.6,32,"       .","       .",6.4,10.1
