"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"83","18 jaar of ouder","Waarde",2022,"Meppel","Meppel                                  ","Gemeente  ","GM0119              ",70.5,46.9,17.2,18.1,42.5,33,19.5,16.8,9.3,12.6
"84","18 jaar of ouder","Waarde",2022,"Middelburg","Middelburg                              ","Gemeente  ","GM0687              ",69.2,50.1,15.7,17.8,48.3,35.9,21.2,17.7,9.3,15.1
"85","18 jaar of ouder","Waarde",2022,"Midden-Delfland","Midden-Delfland                         ","Gemeente  ","GM1842              ",73.9,50,14.6,12.9,41.3,30.8,17.9,14,7.4,11.2
"86","18 jaar of ouder","Waarde",2022,"Midden-Drenthe","Midden-Drenthe                          ","Gemeente  ","GM1731              ",71.9,46.7,17,16.2,41.5,33.3,16.2,14.6,7,10.6
"87","18 jaar of ouder","Waarde",2022,"Midden-Groningen","Midden-Groningen                        ","Gemeente  ","GM1952              ",65.8,42.7,21.4,19.9,47.7,37.7,21.6,18.1,10,14.5
"88","18 jaar of ouder","Waarde",2022,"Moerdijk","Moerdijk                                ","Gemeente  ","GM1709              ",68.3,38.2,19.7,17.1,44.2,33.6,19.9,16.7,8.4,13
"89","18 jaar of ouder","Waarde",2022,"Molenlanden","Molenlanden                             ","Gemeente  ","GM1978              ",73.2,41.7,16.5,14.8,46.1,29.9,17.4,14.7,7.3,10.3
"90","18 jaar of ouder","Waarde",2022,"Montferland","Montferland                             ","Gemeente  ","GM1955              ",69.6,47.5,18.2,15.9,39.2,34.9,18.5,15.6,8.4,12
"91","18 jaar of ouder","Waarde",2022,"Montfoort","Montfoort                               ","Gemeente  ","GM0335              ",74,46.6,14.7,14.5,40.1,30.1,17.3,13.6,7.2,10.4
"92","18 jaar of ouder","Waarde",2022,"Mook en Middelaar","Mook en Middelaar                       ","Gemeente  ","GM0944              ",71.7,47.6,14.1,12.2,40.3,34.5,16.6,13.7,6.5,10.6
"93","18 jaar of ouder","Waarde",2022,"Neder-Betuwe","Neder-Betuwe                            ","Gemeente  ","GM1740              ",72.1,43.4,17.4,17,46.6,30.5,17.9,15.3,7.9,10.9
"94","18 jaar of ouder","Waarde",2022,"Nederweert","Nederweert                              ","Gemeente  ","GM0946              ",69.8,45.6,15,13.9,39.8,31.5,17.9,14.6,7.1,11.7
"95","18 jaar of ouder","Waarde",2022,"Nieuwegein","Nieuwegein                              ","Gemeente  ","GM0356              ",68.5,45.5,17.3,17.9,46,34.6,22.6,17,10.4,14.8
"96","18 jaar of ouder","Waarde",2022,"Nieuwkoop","Nieuwkoop                               ","Gemeente  ","GM0569              ",73.8,45.8,15.2,14.7,39,30.2,17.2,14,7.2,10.6
"97","18 jaar of ouder","Waarde",2022,"Nijkerk","Nijkerk                                 ","Gemeente  ","GM0267              ",73.3,47,15.5,15.3,42.9,31.3,17.7,14.5,7.8,11
"98","18 jaar of ouder","Waarde",2022,"Nijmegen","Nijmegen                                ","Gemeente  ","GM0268              ",68.6,52.6,14.5,19.2,39.8,33.6,25.5,18.7,12.2,15.5
"99","18 jaar of ouder","Waarde",2022,"Nissewaard","Nissewaard                              ","Gemeente  ","GM1930              ",66.1,41.6,21.7,19.4,49.7,36,23.8,18.5,11.1,15.6
