"","...1","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"58",58,"18 jaar of ouder","Waarde",2022,"Castricum","Castricum","Gemeente","GM0383",73.9,54.9,12.2,12.6,36.3,31.3,17.2,13.7,7.2,10.5
"59",59,"18 jaar of ouder","Waarde",2022,"Coevorden","Coevorden","Gemeente","GM0109",69.8,45.7,18.7,17.2,41.7,34.4,17.4,16,8,11.7
"60",60,"18 jaar of ouder","Waarde",2022,"Cranendonck","Cranendonck","Gemeente","GM1706",69.2,43.2,16.1,14.3,38.5,32.4,18.7,14.6,7.5,11.7
"61",61,"18 jaar of ouder","Waarde",2022,"Culemborg","Culemborg","Gemeente","GM0216",70.6,46.8,16.4,15.8,47.4,33.8,20.7,16.5,9.4,13
"62",62,"18 jaar of ouder","Waarde",2022,"Dalfsen","Dalfsen","Gemeente","GM0148",75.1,48.6,14.6,14.1,40.3,29.2,15.2,15.2,6.3,9.7
"63",63,"18 jaar of ouder","Waarde",2022,"Dantumadiel","Dantumadiel","Gemeente","GM1891",70.9,43.4,16.3,18.7,44.7,32.9,17.5,16.2,7.3,11.4
"64",64,"18 jaar of ouder","Waarde",2022,"Delft","Delft","Gemeente","GM0503",69.4,52.9,14.3,19.1,43.2,31.4,27.8,18.7,13,18.2
"65",65,"18 jaar of ouder","Waarde",2022,"Deurne","Deurne","Gemeente","GM0762",69.6,43.7,15.9,14.7,37.4,33.5,18.2,15.2,7.8,11.6
"66",66,"18 jaar of ouder","Waarde",2022,"Deventer","Deventer","Gemeente","GM0150",69.6,48.4,17.2,19.1,42.6,33.6,22.2,17.8,11.1,14
"67",67,"18 jaar of ouder","Waarde",2022,"Diemen","Diemen","Gemeente","GM0384",69.7,49.9,13.7,19.7,42.7,31,27.5,18.3,12.2,18.5
"68",68,"18 jaar of ouder","Waarde",2022,"Dijk en Waard","Dijk en Waard","Gemeente","GM1980",71.3,50.1,14.8,16.2,39,31.9,20.2,15.5,9.2,12.3
"69",69,"18 jaar of ouder","Waarde",2022,"Dinkelland","Dinkelland","Gemeente","GM1774",75,51.5,15.5,13.5,32.7,27.6,15.6,14.2,6.2,9.8
"70",70,"18 jaar of ouder","Waarde",2022,"Doesburg","Doesburg","Gemeente","GM0221",65.7,44.4,19.4,18.2,45.4,38.9,21.3,17.7,10.4,13.9
"71",71,"18 jaar of ouder","Waarde",2022,"Doetinchem","Doetinchem","Gemeente","GM0222",69.9,47.2,18.3,17.3,39.8,35,19.9,16.5,9.7,12.9
"72",72,"18 jaar of ouder","Waarde",2022,"Dongen","Dongen","Gemeente","GM0766",69.2,42.8,18.7,16,41.4,33.2,19.9,16.2,8.6,12.7
"73",73,"18 jaar of ouder","Waarde",2022,"Dordrecht","Dordrecht","Gemeente","GM0505",65.3,42.1,19.4,19.4,51,35.2,25.4,19.7,12.1,16.6
"74",74,"18 jaar of ouder","Waarde",2022,"Drechterland","Drechterland","Gemeente","GM0498",72.5,51,14.5,15,36.5,30.4,17.4,14.5,7.4,11.1
"75",75,"18 jaar of ouder","Waarde",2022,"Drimmelen","Drimmelen","Gemeente","GM1719",70.6,40.5,17.9,15.1,39.4,32.7,18.4,15.1,7.5,11.2
"76",76,"18 jaar of ouder","Waarde",2022,"Dronten","Dronten","Gemeente","GM0303",70.9,44.8,17.4,17.6,45.8,32.8,19.5,17.2,9.1,12.3
"77",77,"18 jaar of ouder","Waarde",2022,"Druten","Druten","Gemeente","GM0225",70.2,44.5,17.2,15.8,42.3,33.3,18.3,15.6,8.2,11.8
"78",78,"18 jaar of ouder","Waarde",2022,"Duiven","Duiven","Gemeente","GM0226",70.4,47.7,18,15.7,40.5,34.3,18.5,15.3,8.4,11.6
"79",79,"18 jaar of ouder","Waarde",2022,"Echt-Susteren","Echt-Susteren","Gemeente","GM1711",65.1,40.9,17.8,15.5,44.5,36.6,21.4,17,8.7,13.2
"80",80,"18 jaar of ouder","Waarde",2022,"Edam-Volendam","Edam-Volendam","Gemeente","GM0385",73.3,47.8,14.3,14.7,36.1,30.5,17.5,13.9,7.4,10.6
"81",81,"18 jaar of ouder","Waarde",2022,"Ede","Ede","Gemeente","GM0228",72,47.8,15.5,16.4,48.1,32.1,19.5,15.6,8.9,11.8
"82",82,"18 jaar of ouder","Waarde",2022,"Eemnes","Eemnes","Gemeente","GM0317",74.4,49.4,13.6,14.6,36,30.4,16.8,13.1,6.9,10.5
"83",83,"18 jaar of ouder","Waarde",2022,"Eemsdelta","Eemsdelta","Gemeente","GM1979",61.8,42,23.3,22,49.9,40.3,22.1,19.9,10,15.1
"84",84,"18 jaar of ouder","Waarde",2022,"Eersel","Eersel","Gemeente","GM0770",71.9,45.6,15.3,12.8,36.7,31.2,17,13.8,6.7,10.6
"85",85,"18 jaar of ouder","Waarde",2022,"Eijsden-Margraten","Eijsden-Margraten","Gemeente","GM1903",71.5,41.8,14.9,13.1,40.2,33.2,18.5,13.3,7.1,11.2
"86",86,"18 jaar of ouder","Waarde",2022,"Eindhoven","Eindhoven","Gemeente","GM0772",67.4,47.4,15.3,20.3,41.7,32.7,26,18.9,12.4,18.3
"87",87,"18 jaar of ouder","Waarde",2022,"Elburg","Elburg","Gemeente","GM0230",72.9,44.7,16.9,16.8,46.2,31.5,17.6,16,8,11
"88",88,"18 jaar of ouder","Waarde",2022,"Emmen","Emmen","Gemeente","GM0114",65.8,42.5,23.2,20,43,36.5,20.7,18.7,10,13.3
"89",89,"18 jaar of ouder","Waarde",2022,"Enkhuizen","Enkhuizen","Gemeente","GM0388",68.7,48.3,16.9,17.9,39.3,34.4,21.7,16.7,9.7,13.3
"90",90,"18 jaar of ouder","Waarde",2022,"Enschede","Enschede","Gemeente","GM0153",66.8,51.2,18.2,21.2,40,34.3,24.8,19.5,12.8,16.7
"91",91,"18 jaar of ouder","Waarde",2022,"Epe","Epe","Gemeente","GM0232",71.4,45.7,16.3,15.5,45.9,33.4,17.4,15.3,7.7,11.1
"92",92,"18 jaar of ouder","Waarde",2022,"Ermelo","Ermelo","Gemeente","GM0233",72.2,46.9,15.4,15.7,45.9,33.1,17.9,14.5,7.9,11.4
"93",93,"18 jaar of ouder","Waarde",2022,"Etten-Leur","Etten-Leur","Gemeente","GM0777",67.6,42,18.4,16.5,42.5,34.2,21.6,17.6,9.4,14.1
"94",94,"18 jaar of ouder","Waarde",2022,"De Fryske Marren","De Fryske Marren","Gemeente","GM1940",72.6,47.2,15.8,15.9,40.3,31.8,16.5,14.5,7.1,10.8
"95",95,"18 jaar of ouder","Waarde",2022,"Geertruidenberg","Geertruidenberg","Gemeente","GM0779",68.5,39.4,19.4,16.7,41.3,33.7,20,16.4,8.7,12.5
"96",96,"18 jaar of ouder","Waarde",2022,"Geldrop-Mierlo","Geldrop-Mierlo","Gemeente","GM1771",68.4,44.5,16.1,15.9,39.3,34.1,20.1,15.8,8.7,13.1
"97",97,"18 jaar of ouder","Waarde",2022,"Gemert-Bakel","Gemert-Bakel","Gemeente","GM1652",70.4,45.6,16,15,37.4,32.2,18,15,7.8,11.6
"98",98,"18 jaar of ouder","Waarde",2022,"Gennep","Gennep","Gemeente","GM0907",69.6,46.8,16.6,15.4,39.4,34.3,18.4,15.3,7.9,12.2
"99",99,"18 jaar of ouder","Waarde",2022,"Gilze en Rijen","Gilze en Rijen","Gemeente","GM0784",68.2,43.2,18.8,15.8,41,33.9,19.9,16.7,8.7,12.7
"100",100,"18 jaar of ouder","Waarde",2022,"Goeree-Overflakkee","Goeree-Overflakkee","Gemeente","GM1924",70.2,42.1,20.3,16.4,48.5,33.5,18.8,15.8,7.8,12.6
"101",1,"18 jaar of ouder","Waarde",2022,"Goes","Goes","Gemeente","GM0664",68.8,43.2,16.4,17,47.7,34.9,20.3,17.3,8.5,14.8
"102",2,"18 jaar of ouder","Waarde",2022,"Goirle","Goirle","Gemeente","GM0785",70,43.1,17.7,14.7,38.2,33.4,18.4,14.8,7.4,11.5
"103",3,"18 jaar of ouder","Waarde",2022,"Gooise Meren","Gooise Meren","Gemeente","GM1942",73.9,49.3,12.7,15,38,31,19.3,13.7,7.9,12.2
"104",4,"18 jaar of ouder","Waarde",2022,"Gorinchem","Gorinchem","Gemeente","GM0512",66.6,41.6,18.5,18.2,49.7,34.5,24,18.9,11.6,15.5
"105",5,"18 jaar of ouder","Waarde",2022,"Gouda","Gouda","Gemeente","GM0513",67.8,45.3,17,17.2,49,34.6,23.9,18.1,11,14.8
"106",6,"18 jaar of ouder","Waarde",2022,"'s-Gravenhage","'s-Gravenhage","Gemeente","GM0518",64.1,48.6,16.7,21.8,50.6,34.1,29.7,22,14.9,20.7
"107",7,"18 jaar of ouder","Waarde",2022,"Groningen","Groningen","Gemeente","GM0014",69.8,57.3,13.2,23.6,36.4,31.3,25.9,17.5,11.7,15.9
"108",8,"18 jaar of ouder","Waarde",2022,"Gulpen-Wittem","Gulpen-Wittem","Gemeente","GM1729",67.6,37.3,15.8,14.5,40.8,36.1,19.7,14.7,8.2,12.4
"109",9,"18 jaar of ouder","Waarde",2022,"Haaksbergen","Haaksbergen","Gemeente","GM0158",72.7,51.2,16.2,15,36.2,32.2,16.4,14.6,7.3,10.5
"110",10,"18 jaar of ouder","Waarde",2022,"Haarlem","Haarlem","Gemeente","GM0392",70.5,51.6,14,19.1,39.3,32,23.9,17.7,11.3,15.3
"111",11,"18 jaar of ouder","Waarde",2022,"Haarlemmermeer","Haarlemmermeer","Gemeente","GM0394",72.1,47,15.2,16,41.9,31.1,20.6,15.8,9.4,13.6
"112",12,"18 jaar of ouder","Waarde",2022,"Halderberge","Halderberge","Gemeente","GM1655",66.7,37.9,19.4,16.5,44.6,33.7,20.1,17.4,8.5,13.8
"113",13,"18 jaar of ouder","Waarde",2022,"Hardenberg","Hardenberg","Gemeente","GM0160",72.6,46,17.9,17.4,39.4,31.1,16.5,16.3,7.6,10.6
"114",14,"18 jaar of ouder","Waarde",2022,"Harderwijk","Harderwijk","Gemeente","GM0243",69.9,47.3,16.8,17.5,47.3,33.4,20.8,16.4,9.7,13.1
"115",15,"18 jaar of ouder","Waarde",2022,"Hardinxveld-Giessendam","Hardinxveld-Giessendam","Gemeente","GM0523",72.1,40.8,17.4,15.1,49.8,30.9,18.5,15.7,8,11.3
"116",16,"18 jaar of ouder","Waarde",2022,"Harlingen","Harlingen","Gemeente","GM0072",68.2,50.6,19,19.8,44.4,36,18.3,16.1,8.4,13.3
"117",17,"18 jaar of ouder","Waarde",2022,"Hattem","Hattem","Gemeente","GM0244",73.8,47.7,15.5,14.7,44.7,31.1,16.1,14.4,6.9,10.5
"118",18,"18 jaar of ouder","Waarde",2022,"Heemskerk","Heemskerk","Gemeente","GM0396",68.9,48.9,16.1,16.1,41.6,33.7,21,16.4,9.8,13.5
"119",19,"18 jaar of ouder","Waarde",2022,"Heemstede","Heemstede","Gemeente","GM0397",74.5,52,11.9,12.6,36.9,32,17,12.7,6.7,11.1
"120",20,"18 jaar of ouder","Waarde",2022,"Heerde","Heerde","Gemeente","GM0246",73,45.5,16,14.5,45.9,32.5,15.9,14.8,6.9,10.1
"121",21,"18 jaar of ouder","Waarde",2022,"Heerenveen","Heerenveen","Gemeente","GM0074",71.2,46.1,16.2,17.6,42.8,33.3,18.8,15.9,8.4,12.6
"122",22,"18 jaar of ouder","Waarde",2022,"Heerlen","Heerlen","Gemeente","GM0917",58.5,36.7,22.3,22.5,50.9,42.9,29.2,21.3,14.4,18.8
"123",23,"18 jaar of ouder","Waarde",2022,"Heeze-Leende","Heeze-Leende","Gemeente","GM1658",72.1,45.2,13.6,12.5,36.8,31.3,16.6,13.3,6.4,10.4
"124",24,"18 jaar of ouder","Waarde",2022,"Heiloo","Heiloo","Gemeente","GM0399",73.3,56,11.5,12.2,36.1,32.7,17.4,13.9,7.3,10.8
"125",25,"18 jaar of ouder","Waarde",2022,"Den Helder","Den Helder","Gemeente","GM0400",65.3,48.3,20.5,22.1,41.3,37.7,22,17,11.1,14.5
"126",26,"18 jaar of ouder","Waarde",2022,"Hellendoorn","Hellendoorn","Gemeente","GM0163",73.6,48.3,16.7,15.4,39.2,30.6,16.1,14.4,7.1,10.3
"127",27,"18 jaar of ouder","Waarde",2022,"Hellevoetsluis","Hellevoetsluis","Gemeente","GM0530",67.6,43.4,21.4,18.1,49,35.3,21.3,16.7,9.5,14.7
"128",28,"18 jaar of ouder","Waarde",2022,"Helmond","Helmond","Gemeente","GM0794",65.3,42.8,18.6,20,42.4,35.2,23.7,18.7,11.5,15.5
"129",29,"18 jaar of ouder","Waarde",2022,"Hendrik-Ido-Ambacht","Hendrik-Ido-Ambacht","Gemeente","GM0531",71.6,41.4,17.4,15,48.3,31.7,20,15.7,8.7,12.1
"130",30,"18 jaar of ouder","Waarde",2022,"Hengelo","Hengelo","Gemeente","GM0164",68.6,51.1,17.6,19.1,39.1,33.7,21.5,17.3,10.7,14.4
"131",31,"18 jaar of ouder","Waarde",2022,"'s-Hertogenbosch","'s-Hertogenbosch","Gemeente","GM0796",69.3,45.2,15.9,18.1,37.5,33.3,22.2,17.1,10.3,14.1
"132",32,"18 jaar of ouder","Waarde",2022,"Heumen","Heumen","Gemeente","GM0252",72.1,49.1,14.3,12.7,40.2,33.4,16.8,14.1,6.8,10.7
"133",33,"18 jaar of ouder","Waarde",2022,"Heusden","Heusden","Gemeente","GM0797",70.4,43.3,16.6,16.2,39.5,32.6,19,15.7,8.2,12.3
"134",34,"18 jaar of ouder","Waarde",2022,"Hillegom","Hillegom","Gemeente","GM0534",71.3,48.6,15.6,16.8,39.3,31.8,20,15.4,9.1,12.8
"135",35,"18 jaar of ouder","Waarde",2022,"Hilvarenbeek","Hilvarenbeek","Gemeente","GM0798",72.3,44.7,15.5,13.1,35.1,31,16.4,14,6.2,10.1
"136",36,"18 jaar of ouder","Waarde",2022,"Hilversum","Hilversum","Gemeente","GM0402",70.4,50.5,14.3,18.3,40.9,32.3,23.2,16.7,10.4,15
"137",37,"18 jaar of ouder","Waarde",2022,"Hoeksche Waard","Hoeksche Waard","Gemeente","GM1963",71.1,40.1,18.4,15.3,46.6,32.8,18.5,15.2,7.6,11.5
"138",38,"18 jaar of ouder","Waarde",2022,"Hof van Twente","Hof van Twente","Gemeente","GM1735",72.5,48.2,16.7,15.2,36.1,31.4,15.7,13.8,6.8,10.4
"139",39,"18 jaar of ouder","Waarde",2022,"Het Hogeland","Het Hogeland","Gemeente","GM1966",68.8,46.9,18.6,20.8,45.7,37.2,18.9,18.1,8,13
"140",40,"18 jaar of ouder","Waarde",2022,"Hollands Kroon","Hollands Kroon","Gemeente","GM1911",71.3,49.4,16.4,17,37.7,32.5,18.3,15.1,8.2,11.6
"141",41,"18 jaar of ouder","Waarde",2022,"Hoogeveen","Hoogeveen","Gemeente","GM0118",69,44,18.4,19.2,42.9,34.1,19.3,17.6,9.1,12.7
"142",42,"18 jaar of ouder","Waarde",2022,"Hoorn","Hoorn","Gemeente","GM0405",68.6,48.9,16.4,17.8,43,33.7,22.2,17.3,10.5,14.6
"143",43,"18 jaar of ouder","Waarde",2022,"Horst aan de Maas","Horst aan de Maas","Gemeente","GM1507",71.3,44.9,15.6,14.6,36.9,32.3,18.4,14.5,7.4,11.6
"144",44,"18 jaar of ouder","Waarde",2022,"Houten","Houten","Gemeente","GM0321",74.4,51.5,14,14.1,43.7,31.6,18.2,13.7,7.7,10.9
"145",45,"18 jaar of ouder","Waarde",2022,"Huizen","Huizen","Gemeente","GM0406",70,46.8,15.4,16.2,42.8,34.1,20.2,15.5,9,12.7
"146",46,"18 jaar of ouder","Waarde",2022,"Hulst","Hulst","Gemeente","GM0677",66,39.7,16.1,16.1,41,33.8,21.3,17.5,8.8,14.7
"147",47,"18 jaar of ouder","Waarde",2022,"IJsselstein","IJsselstein","Gemeente","GM0353",70.5,45.6,16.5,15.9,44.7,33.3,20.8,15.7,9.3,12.9
"148",48,"18 jaar of ouder","Waarde",2022,"Kaag en Braassem","Kaag en Braassem","Gemeente","GM1884",73,45.5,15.1,14.9,38.7,30.5,18,14.2,7.7,11.4
"149",49,"18 jaar of ouder","Waarde",2022,"Kampen","Kampen","Gemeente","GM0166",71,46,17.3,18.1,46.6,31.8,19.5,18.3,8.9,12.1
"150",50,"18 jaar of ouder","Waarde",2022,"Kapelle","Kapelle","Gemeente","GM0678",72.6,43.9,15.3,14.5,49.6,31.4,16.9,14.8,6.5,12
"151",51,"18 jaar of ouder","Waarde",2022,"Katwijk","Katwijk","Gemeente","GM0537",71.7,50.7,18.5,16.4,40,31,19.5,16,8.8,12.1
