"","Leeftijd","Marges","Perioden","Wijken.en.buurten","Regioaanduiding.Gemeentenaam..naam.","Regioaanduiding.Soort.regio..omschrijving.","Regioaanduiding.Codering..code.","Ervaren.gezondheid..goed.zeer.goed.....","Bewegen.Voldoet.aan.beweegrichtlijn....","Onder..en.overgewicht.Mate.van.overgewicht.Ernstig.overgewicht....","Roker....","Alcoholgebruik.Voldoet.aan.alcohol.richtlijn....","Lichamelijke.gezondheid.Eén.of.meer.langdurige.aandoeningen....","Psychische.klachten....","Veerkracht..Zeer..lage.veerkracht....","Hoog.risico.op.angst.of.depressie....","Eenzaamheid.Ernstig.zeer.ernstig.eenzaam...."
"33","18 jaar of ouder","Waarde",2020,"Bergen op Zoom","Bergen op Zoom                          ","Gemeente  ","GM0748              ",75.1,"    47.5",18.2,18.1,46.9,33.9,"       .","       .",7.9,12.9
"34","18 jaar of ouder","Waarde",2020,"Berkelland","Berkelland                              ","Gemeente  ","GM1859              ",81.2,"    53.6",16.3,15.3,35.9,32,"       .","       .",4.4,8.8
"35","18 jaar of ouder","Waarde",2020,"Bernheze","Bernheze                                ","Gemeente  ","GM1721              ",80.5,"    50.1",14.1,14.3,37.1,30.1,"       .","       .",5.1,8.8
"36","18 jaar of ouder","Waarde",2020,"Best","Best                                    ","Gemeente  ","GM0753              ",79.5,"    49.6",14.9,14.3,39.6,31.1,"       .","       .",6.2,10.5
"37","18 jaar of ouder","Waarde",2020,"Beuningen","Beuningen                               ","Gemeente  ","GM0209              ",77.2,"    49.2",15.8,16.1,39.3,34.1,"       .","       .",5.6,9.4
"38","18 jaar of ouder","Waarde",2020,"Beverwijk","Beverwijk                               ","Gemeente  ","GM0375              ",75.7,"    54.9",17.6,19.5,42.8,34.1,"       .","       .",7.3,12.2
"39","18 jaar of ouder","Waarde",2020,"De Bilt","De Bilt                                 ","Gemeente  ","GM0310              ",80.5,"       .",11.8,14,42.9,32.8,"       .","       .",5.2,9.1
"40","18 jaar of ouder","Waarde",2020,"Bladel","Bladel                                  ","Gemeente  ","GM1728              ",80.2,"    50.9",14.8,12.6,37.5,29.7,"       .","       .",4.8,9.2
"41","18 jaar of ouder","Waarde",2020,"Blaricum","Blaricum                                ","Gemeente  ","GM0376              ",82.9,"    49.0",11.7,13.3,38.7,31.4,"       .","       .",4.3,8.2
"42","18 jaar of ouder","Waarde",2020,"Bloemendaal","Bloemendaal                             ","Gemeente  ","GM0377              ",83.6,"    60.6",9.8,11.1,34.2,30.5,"       .","       .",3.7,7.7
"43","18 jaar of ouder","Waarde",2020,"Bodegraven-Reeuwijk","Bodegraven-Reeuwijk                     ","Gemeente  ","GM1901              ",82.7,"    48.7",13.8,13.8,45.1,30.7,"       .","       .",4.9,8.4
"44","18 jaar of ouder","Waarde",2020,"Boekel","Boekel                                  ","Gemeente  ","GM0755              ",81.1,"    52.4",13.8,13.7,35.3,29.1,"       .","       .",4.8,8.4
"45","18 jaar of ouder","Waarde",2020,"Borger-Odoorn","Borger-Odoorn                           ","Gemeente  ","GM1681              ",78.2,"    44.2",18.5,17.5,44.8,35.1,"       .","       .",4.7,8.8
"46","18 jaar of ouder","Waarde",2020,"Borne","Borne                                   ","Gemeente  ","GM0147              ",81.7,"    54.6",16,15.8,37.6,30.8,"       .","       .",4.5,9.2
"47","18 jaar of ouder","Waarde",2020,"Borsele","Borsele                                 ","Gemeente  ","GM0654              ",78.2,"    47.2",15.3,15.8,48.2,32.4,"       .","       .",4.8,9.9
"48","18 jaar of ouder","Waarde",2020,"Boxtel","Boxtel                                  ","Gemeente  ","GM0757              ",78.5,"    51.0",15.4,16.1,38.8,32,"       .","       .",6.2,10.4
"49","18 jaar of ouder","Waarde",2020,"Breda","Breda                                   ","Gemeente  ","GM0758              ",78.5,"    50.0",15,17.8,39.5,31.1,"       .","       .",7.6,11.7
"50","18 jaar of ouder","Waarde",2020,"Brielle","Brielle                                 ","Gemeente  ","GM0501              ",79,"    44.8",16.9,16.1,41.1,32.2,"       .","       .",5.4,9.8
"51","18 jaar of ouder","Waarde",2020,"Bronckhorst","Bronckhorst                             ","Gemeente  ","GM1876              ",81.4,"    52.8",15.1,14.2,38.5,33,"       .","       .",4.4,8.1
"52","18 jaar of ouder","Waarde",2020,"Brummen","Brummen                                 ","Gemeente  ","GM0213              ",80.1,"    51.5",16.9,16.2,42.7,33.6,"       .","       .",6,9.4
"53","18 jaar of ouder","Waarde",2020,"Brunssum","Brunssum                                ","Gemeente  ","GM0899              ",69.1,"    39.1",21.7,21.8,50,43.4,"       .","       .",9.9,14.8
