"","Geslacht","Leeftijd","Hoogst.behaald.onderwijsniveau","Perioden","Beroepsbevolking.Werkloosheidspercentage...."
"132","Vrouwen","15 tot 75 jaar","Totaal",2021,4.5
"133","Vrouwen","15 tot 75 jaar","Totaal",2022,3.8
"134","Vrouwen","15 tot 75 jaar","Totaal",2023,3.8
"135","Vrouwen","15 tot 75 jaar","Totaal",2024,3.8
"136","Vrouwen","15 tot 20 jaar","Totaal",2020,11.7
"137","Vrouwen","15 tot 20 jaar","Totaal",2021,12.6
"138","Vrouwen","15 tot 20 jaar","Totaal",2022,11.1
"139","Vrouwen","15 tot 20 jaar","Totaal",2023,11
"140","Vrouwen","15 tot 20 jaar","Totaal",2024,10.7
"141","Vrouwen","20 tot 25 jaar","Totaal",2020,8.2
"142","Vrouwen","20 tot 25 jaar","Totaal",2021,6
"143","Vrouwen","20 tot 25 jaar","Totaal",2022,5.5
"144","Vrouwen","20 tot 25 jaar","Totaal",2023,6
"145","Vrouwen","20 tot 25 jaar","Totaal",2024,6.9
"146","Vrouwen","25 tot 30 jaar","Totaal",2020,4.8
"147","Vrouwen","25 tot 30 jaar","Totaal",2021,4.3
"148","Vrouwen","25 tot 30 jaar","Totaal",2022,3.3
"149","Vrouwen","25 tot 30 jaar","Totaal",2023,3.9
"150","Vrouwen","25 tot 30 jaar","Totaal",2024,4.2
"151","Vrouwen","30 tot 35 jaar","Totaal",2020,4.6
"152","Vrouwen","30 tot 35 jaar","Totaal",2021,4.2
"153","Vrouwen","30 tot 35 jaar","Totaal",2022,3.2
"154","Vrouwen","30 tot 35 jaar","Totaal",2023,3.1
"155","Vrouwen","30 tot 35 jaar","Totaal",2024,3.3
"156","Vrouwen","35 tot 40 jaar","Totaal",2020,3.7
"157","Vrouwen","35 tot 40 jaar","Totaal",2021,3.8
"158","Vrouwen","35 tot 40 jaar","Totaal",2022,3.1
"159","Vrouwen","35 tot 40 jaar","Totaal",2023,3
"160","Vrouwen","35 tot 40 jaar","Totaal",2024,3.2
"161","Vrouwen","40 tot 45 jaar","Totaal",2020,5.2
"162","Vrouwen","40 tot 45 jaar","Totaal",2021,3.5
"163","Vrouwen","40 tot 45 jaar","Totaal",2022,2.3
"164","Vrouwen","40 tot 45 jaar","Totaal",2023,2.6
"165","Vrouwen","40 tot 45 jaar","Totaal",2024,2.7
"166","Vrouwen","45 tot 50 jaar","Totaal",2020,2.8
"167","Vrouwen","45 tot 50 jaar","Totaal",2021,2.6
"168","Vrouwen","45 tot 50 jaar","Totaal",2022,2.1
"169","Vrouwen","45 tot 50 jaar","Totaal",2023,2.2
"170","Vrouwen","45 tot 50 jaar","Totaal",2024,2.3
"171","Vrouwen","50 tot 55 jaar","Totaal",2020,3.2
"172","Vrouwen","50 tot 55 jaar","Totaal",2021,2.9
"173","Vrouwen","50 tot 55 jaar","Totaal",2022,2.2
"174","Vrouwen","50 tot 55 jaar","Totaal",2023,1.6
"175","Vrouwen","50 tot 55 jaar","Totaal",2024,1.9
"176","Vrouwen","55 tot 60 jaar","Totaal",2020,3.7
"177","Vrouwen","55 tot 60 jaar","Totaal",2021,2.9
"178","Vrouwen","55 tot 60 jaar","Totaal",2022,2.7
"179","Vrouwen","55 tot 60 jaar","Totaal",2023,2.2
"180","Vrouwen","55 tot 60 jaar","Totaal",2024,2
"181","Vrouwen","60 tot 65 jaar","Totaal",2020,4.8
