"","Onderwijsvolgend","Arbeidskenmerken","Uitkering","Geregistreerd.werkzoekende.bij.UWV","Perioden","Regio.s","Jongeren..15.tot.27.jaar...aantal."
"88","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Baarle-Nassau",800
"89","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Baarn",2900
"90","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Baarn",2800
"91","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Baarn",2800
"92","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Baarn",2800
"93","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Barendrecht",7100
"94","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Barendrecht",7100
"95","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Barendrecht",7200
"96","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Barendrecht",7200
"97","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Barneveld",9600
"98","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Barneveld",9600
"99","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Barneveld",9600
"100","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Barneveld",9700
"101","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beek (L.)",1900
"102","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Beek (L.)",1900
"103","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Beek (L.)",1800
"104","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Beek (L.)",1800
"105","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beekdaelen",4200
"106","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Beekdaelen",4100
"107","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Beekdaelen",4000
"108","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Beekdaelen",3900
"109","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Beesel",1700
"110","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Beesel",1700
"111","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Beesel",1700
"112","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Beesel",1700
"113","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Berg en Dal",4400
"114","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Berg en Dal",4400
"115","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Berg en Dal",4400
"116","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Berg en Dal",4400
"117","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bergeijk",2600
"118","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bergeijk",2500
"119","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bergeijk",2600
"120","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bergeijk",2600
"121","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bergen (L.)",1700
"122","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bergen (L.)",1700
"123","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bergen (L.)",1600
"124","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bergen (L.)",1600
"125","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2020","Bergen (NH.)",3500
"126","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2021","Bergen (NH.)",3500
"127","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2022","Bergen (NH.)",3600
"128","Totaal ","Totaal ","Totaal met of zonder uitkering","Totaal","2023*","Bergen (NH.)",3500
